name,tn,fp,fn,tp,IoU,DSC
p70_u25_urban,0,8,0,40,0.8333333333333334,0.9090909090909091
p50_u40_urban,0,11,0,37,0.7708333333333334,0.8705882352941177
p30_u25_urban,0,13,0,35,0.7291666666666666,0.8433734939759037
p70_u40_urban,0,8,0,40,0.8333333333333334,0.9090909090909091
p50_u10_urban,0,7,0,41,0.8541666666666666,0.9213483146067416
p30_u10_urban,0,9,0,39,0.8125,0.896551724137931
p50_u25_urban,0,11,0,37,0.7708333333333334,0.8705882352941177
p70_u10_urban,5,4,2,37,0.8604651162790697,0.925
p30_u40_urban,0,13,0,35,0.7291666666666666,0.8433734939759037
p70_u25_all,0,8,0,40,0.8333333333333334,0.9090909090909091
p50_u40_all,0,11,0,37,0.7708333333333334,0.8705882352941177
p30_u25_all,0,13,0,35,0.7291666666666666,0.8433734939759037
p70_u40_all,0,8,0,40,0.8333333333333334,0.9090909090909091
p50_u10_all,0,7,0,41,0.8541666666666666,0.9213483146067416
p30_u10_all,0,9,0,39,0.8125,0.896551724137931
p50_u25_all,0,11,0,37,0.7708333333333334,0.8705882352941177
p70_u10_all,0,9,0,39,0.8125,0.896551724137931
p30_u40_all,0,13,0,35,0.7291666666666666,0.8433734939759037
p70_u25_nature,0,8,0,40,0.8333333333333334,0.9090909090909091
p50_u40_nature,0,11,0,37,0.7708333333333334,0.8705882352941177
p30_u25_nature,0,13,0,35,0.7291666666666666,0.8433734939759037
p70_u40_nature,0,8,0,40,0.8333333333333334,0.9090909090909091
p50_u10_nature,0,7,0,41,0.8541666666666666,0.9213483146067416
p30_u10_nature,0,9,0,39,0.8125,0.896551724137931
p50_u25_nature,0,11,0,37,0.7708333333333334,0.8705882352941177
p70_u10_nature,5,4,2,37,0.8604651162790697,0.925
p30_u40_nature,0,13,0,35,0.7291666666666666,0.8433734939759037
